address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
1.0,413,final,,0.0,,,joint_iid_full_model,37727,,1.4314503978841497,offline,192,413,1.4314503978841497,0.6174584137247745,rabbit,38354,1.468338505377727
1.0,277,final,,0.0,,,joint_iid_full_model,31123,,1.2978092538169075,offline,192,277,1.2978092538169075,0.6325838064127367,sister,31531,1.34759299667611
1.0,141,final,,0.0,,,joint_iid_full_model,14853,,1.3384562526391472,offline,192,141,1.3384562526391472,0.6300942519580512,train,15066,1.3834585840604259
1.0,138,final,,0.0,,,joint_iid_full_model,16959,,1.3246777147580728,offline,192,138,1.3246777147580728,0.6279937066604511,wheel,17161,1.3880580768781932
0.7093023255813954,344,final,,0.007891064526483174,,,joint_iid_lora,37840,,1.5493037601191906,offline,192,172,1.5571948246456742,0.6113370880267001,bicycle,19176,1.6079321838340315
0.8192419825072886,686,final,,0.0060189749177983675,,,joint_iid_lora,63106,,1.6404930931701633,offline,192,343,1.6465120680879635,0.6128157156220767,boat,32070,1.6724941004909828
0.6808510638297872,658,final,,0.007745622869546942,,,joint_iid_lora,79320,,1.4793329119844065,offline,192,329,1.487078534853953,0.61075011825628,brother,40167,1.5239525592766061
0.746268656716418,134,final,,0.008874402221825764,,,joint_iid_lora,13034,,1.3995692319232718,offline,192,67,1.4084436341450977,0.6205228955720115,bus,6617,1.4485453579277003
0.7350427350427351,234,final,,0.006819957305950599,,,joint_iid_lora,22642,,1.3028438239622335,offline,192,117,1.309663781268184,0.6413223140495867,cow,11495,1.371493129524888
0.9166666666666666,168,final,,0.0013837329864183781,,,joint_iid_lora,18534,,1.5064159881790116,offline,192,84,1.5077997211654297,0.6116494516025982,dragon,9391,1.5592180819141257
0.7573529411764706,544,final,,0.006034105461162912,,,joint_iid_lora,55088,,1.3679923435061825,offline,192,272,1.3740264489673448,0.6351960503720664,duck,27952,1.4484634585358718
0.7525773195876289,194,final,,0.008660409439866727,,,joint_iid_lora,18058,,1.4459362911365679,offline,192,97,1.454596700576435,0.638462376129805,elephant,9183,1.4808127863220462
0.863905325443787,338,final,,0.002828284309286408,,,joint_iid_lora,35028,,1.6518958795257193,offline,192,169,1.6547241638350059,0.6079567835237184,fairy,17771,1.6738119995001701
0.8224852071005917,338,final,,0.004796540688626312,,,joint_iid_lora,44598,,1.6974612939766276,offline,192,169,1.7022578346652542,0.577708841125637,grandma,22565,1.7277940711662347
