condition_id,inference_condition,architecture,maintenance,router_seed,split,stage,task,examples,routed_accuracy,oracle_accuracy,selection_accuracy
A4,I-U100,r2,flat_full,1993,validation,50,25,99,62.62626262626263,98.98989898989899,62.62626262626263
A4,I-U100,r2,flat_full,1993,validation,50,26,91,56.043956043956044,95.6043956043956,57.14285714285714
A4,I-U100,r2,flat_full,1993,validation,50,27,81,59.25925925925925,97.53086419753086,59.25925925925925
A4,I-U100,r2,flat_full,1993,validation,50,28,92,51.08695652173913,98.91304347826086,51.08695652173913
A4,I-U100,r2,flat_full,1993,validation,50,29,171,69.00584795321637,98.24561403508771,69.5906432748538
A4,I-U100,r2,flat_full,1993,validation,50,30,91,59.34065934065934,98.9010989010989,59.34065934065934
A4,I-U100,r2,flat_full,1993,validation,50,31,82,56.09756097560976,97.5609756097561,58.536585365853654
A4,I-U100,r2,flat_full,1993,validation,50,32,89,60.67415730337079,100.0,60.67415730337079
A4,I-U100,r2,flat_full,1993,validation,50,33,57,50.877192982456144,96.49122807017544,50.877192982456144
A4,I-U100,r2,flat_full,1993,validation,50,34,112,44.642857142857146,98.21428571428571,44.642857142857146
A4,I-U100,r2,flat_full,1993,validation,50,35,123,53.65853658536586,100.0,53.65853658536586
A4,I-U100,r2,flat_full,1993,validation,50,36,126,32.53968253968254,96.82539682539682,32.53968253968254
A4,I-U100,r2,flat_full,1993,validation,50,37,114,51.75438596491229,96.49122807017544,53.50877192982456
A4,I-U100,r2,flat_full,1993,validation,50,38,92,39.130434782608695,97.82608695652173,40.21739130434783
A4,I-U100,r2,flat_full,1993,validation,50,39,110,36.36363636363637,97.27272727272728,37.27272727272727
A4,I-U100,r2,flat_full,1993,validation,50,40,60,35.0,98.33333333333333,35.0
A4,I-U100,r2,flat_full,1993,validation,50,41,109,36.69724770642202,100.0,36.69724770642202
A4,I-U100,r2,flat_full,1993,validation,50,42,76,50.0,100.0,50.0
A4,I-U100,r2,flat_full,1993,validation,50,43,58,46.55172413793103,98.27586206896551,46.55172413793103
A4,I-U100,r2,flat_full,1993,validation,50,44,85,51.76470588235295,100.0,51.76470588235295
A4,I-U100,r2,flat_full,1993,validation,50,45,102,32.35294117647059,97.05882352941177,33.33333333333333
A4,I-U100,r2,flat_full,1993,validation,50,46,91,54.94505494505495,97.8021978021978,54.94505494505495
A4,I-U100,r2,flat_full,1993,validation,50,47,91,49.45054945054945,98.9010989010989,49.45054945054945
A4,I-U100,r2,flat_full,1993,validation,50,48,85,38.82352941176471,96.47058823529412,38.82352941176471
A4,I-U100,r2,flat_full,1993,validation,50,49,89,78.65168539325843,100.0,78.65168539325843
